Alloy,Elements,Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Nb,Mo,Zr,Hf,Ta,W,C,Mg,Zn,Si,N,Li,Sn,B,Y,Pd,Actual phase,Phases considered,References
AlCoCrFeNiC1.5,"['Al', 'Co', 'Cr', 'Fe', 'Ni', 'C']",0.153846154,0.153846154,0.153846154,0.153846154,0.153846154,0,0,0,0,0,0,0,0,0,0,0.230769231,0,0,0,0,0,0,0,0,0,IM,0,10.1016/j.intermet.2016.06.001
Fe36Ni18Mn33Al13Ti0.0,"['Fe', 'Ni', 'Mn', 'Al', 'Ti']",0.13,0,0,0.36,0.18,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IM,0,10.1016/j.intermet.2016.06.001
Fe36Ni18Mn33Al13Ti2.0,"['Fe', 'Ni', 'Mn', 'Al', 'Ti']",0.12745098,0,0,0.352941176,0.176470588,0,0.323529412,0.019607843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IM,0,10.1016/j.intermet.2016.06.001
Fe36Ni18Mn33Al13Ti4.0,"['Fe', 'Ni', 'Mn', 'Al', 'Ti']",0.125,0,0,0.346153846,0.173076923,0,0.317307692,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IM,0,10.1016/j.intermet.2016.06.001
Fe30Ni20Mn35Al15,"['Fe', 'Ni', 'Mn', 'Al']",0.15,0,0,0.3,0.2,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IM,0,https://doi.org/10.1007/s10853-013-7884-6
Fe33Ni19Mn34Al14,"['Fe', 'Ni', 'Mn', 'Al']",0.14,0,0,0.33,0.19,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IM,0,https://doi.org/10.1007/s10853-013-7884-6
Fe29Ni19Mn38Al14,"['Fe', 'Ni', 'Mn', 'Al']",0.14,0,0,0.29,0.19,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IM,0,https://doi.org/10.1007/s10853-013-7884-6
Fe31Ni18Mn38Al13,"['Fe', 'Ni', 'Mn', 'Al']",0.13,0,0,0.31,0.18,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IM,0,https://doi.org/10.1007/s10853-013-7884-6
Fe33Ni17Mn38Al12,"['Fe', 'Ni', 'Mn', 'Al']",0.12,0,0,0.33,0.17,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IM,0,https://doi.org/10.1007/s10853-013-7884-6
Fe34Ni16Mn39Al11,"['Fe', 'Ni', 'Mn', 'Al']",0.11,0,0,0.34,0.16,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IM,0,https://doi.org/10.1007/s12598-014-0224-4
Al0.3CrFe1.5MnNi,"['Al', 'Cr', 'Fe', 'Mn', 'Ni']",0.0625,0,0.208333333,0.3125,0.208333333,0,0.208333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1007/s12598-014-0224-4
Al0.3CrFe1.5MnNi0.5Ti0.2,"['Al', 'Cr', 'Fe', 'Mn', 'Ni', 'Ti']",0.066666667,0,0.222222222,0.333333333,0.111111111,0,0.222222222,0.044444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1016/j.apsusc.2015.07.207
Al0.3CrFe1.5MnNi0.5Si0.2,"['Al', 'Cr', 'Fe', 'Mn', 'Ni', 'Si']",0.066666667,0,0.222222222,0.333333333,0.111111111,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0.044444444,0,0,0,0,0,0,IM,0,https://doi.org/10.1016/j.apsusc.2015.07.207
Al25Ti25Ni25Cu25,"['Al', 'Ti', 'Ni', 'Cu']",0.25,0,0,0,0.25,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FCC,2,https://doi.org/10.1016/j.apsusc.2015.07.207
Al22.5Ti22.5Ni20Cu20Fe15,"['Al', 'Ti', 'Ni', 'Cu', 'Fe']",0.225,0,0,0.15,0.2,0.2,0,0.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FCC,2,https://doi.org/10.1016/j.jallcom.2018.01.247
AlTiNiCuFe,"['Al', 'Ti', 'Ni', 'Cu', 'Fe']",0.2,0,0,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FCC,2,https://doi.org/10.1016/j.jallcom.2018.01.247
Al0.5CoCrFeNiTi0.5,"['Al', 'Co', 'Cr', 'Fe', 'Ni', 'Ti']",0.1,0.2,0.2,0.2,0.2,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FCC+BCC,3,https://doi.org/10.1016/j.jallcom.2018.01.247
Al0.8CoCrFeNiTi0.2,"['Al', 'Co', 'Cr', 'Fe', 'Ni', 'Ti']",0.16,0.2,0.2,0.2,0.2,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FCC+BCC,3,https://doi.org/10.1016/j.jallcom.2019.07.100
CoCrFeNiMnC0.01,"['Co', 'Cr', 'Fe', 'Ni', 'Mn', 'C']",0,0.199600798,0.199600798,0.199600798,0.199600798,0,0.199600798,0,0,0,0,0,0,0,0,0.001996008,0,0,0,0,0,0,0,0,0,FCC,2,https://doi.org/10.1038/ncomms10602
CoCrFeNiAl0.3,"['Co', 'Cr', 'Fe', 'Ni', 'Al']",0.069767442,0.23255814,0.23255814,0.23255814,0.23255814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IM,0,https://doi.org/10.1016/j.matdes.2017.02.072
Fe40Mn27Ni26Co5Cr2,"['Fe', 'Mn', 'Ni', 'Co', 'Cr']",0,0.05,0.02,0.4,0.26,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FCC,2,https://doi.org/10.1016/j.actamat.2015.04.014
Fe40Mn40Co10Cr10,"['Fe', 'Mn', 'Co', 'Cr']",0,0.1,0.1,0.4,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FCC,2,https://doi.org/10.1016/j.actamat.2017.07.023
Co20Cr20Fe34Mn20Ni6,"['Co', 'Cr', 'Fe', 'Mn', 'Ni']",0,0.2,0.2,0.34,0.06,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FCC,2,https://doi.org/10.1016/j.actamat.2012.11.032
Co20Cr20Fe40Mn20,"['Co', 'Cr', 'Fe', 'Mn']",0,0.125,0.125,0.5,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FCC,2,https://doi.org/10.1016/j.jallcom.2015.08.224
AlNbTiV,"['Al', 'Nb', 'Ti', 'V']",0.25,0,0,0,0,0,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1016/j.jallcom.2015.08.224
AlCrNbTiV,"['Al', 'Cr', 'Nb', 'Ti', 'V']",0.2,0,0.2,0,0,0,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IM,0,https://doi.org/10.1007/s11837-013-0756-3
Al18Cr28Nb18Ti18V18,"['Al', 'Cr', 'Nb', 'Ti', 'V']",0.18,0.28,0,0,0,0,0,0.18,0.18,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IM,0,https://doi.org/10.1016/j.msea.2018.03.071
Al3(HfNbTiZr)97,"['Al', 'Hf', 'Nb', 'Ti', 'Zr']",0.03,0,0,0,0,0,0,0.2425,0,0.2425,0,0.2425,0.2425,0,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1016/j.msea.2018.03.071
Al5(HfNbTiZr)95,"['Al', 'Hf', 'Nb', 'Ti', 'Zr']",0.05,0,0,0,0,0,0,0.2375,0,0.2375,0,0.2375,0.2375,0,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1016/j.msea.2018.03.071
Al7(HfNbTiZr)93,"['Al', 'Hf', 'Nb', 'Ti', 'Zr']",0.07,0,0,0,0,0,0,0.2325,0,0.2325,0,0.2325,0.2325,0,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1016/j.msea.2018.03.071
Al10 (HfNbTiZr)90,"['Al', 'Hf', 'Nb', 'Ti', 'Zr']",0.1,0,0,0,0,0,0,0.225,0,0.225,0,0.225,0.225,0,0,0,0,0,0,0,0,0,0,0,0,IM,0,https://doi.org/10.1016/j.msea.2018.03.071
Al12(HfNbTiZr)88,"['Al', 'Hf', 'Nb', 'Ti', 'Zr']",0.12,0,0,0,0,0,0,0.22,0,0.22,0,0.22,0.22,0,0,0,0,0,0,0,0,0,0,0,0,IM,0,https://doi.org/10.1016/j.msea.2017.04.111
Al0.2CrFeCoNi2Cu0.2,"['Al', 'Cr', 'Fe', 'Co', 'Ni', 'Cu']",0.037037037,0.185185185,0.185185185,0.185185185,0.37037037,0.037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FCC,2,https://doi.org/10.1007/s11837-015-1484-7
Al0.3CuCrFeNi2,"['Al', 'Cu', 'Cr', 'Fe', 'Ni']",0.056603774,0,0.188679245,0.188679245,0.377358491,0.188679245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FCC,2,https://doi.org/10.1016/j.ijplas.2017.10.005
Al0.2Co1.5CrFeNi1.5Ti0.3,"['Al', 'Co', 'Cr', 'Fe', 'Ni', 'Ti']",0.036363636,0.272727273,0.181818182,0.181818182,0.272727273,0,0,0.054545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IM,0,https://doi.org/10.1016/j.jallcom.2014.11.064
Hf0.5Mo0.5NbTiZrC0.1,"['Hf', 'Mo', 'Nb', 'Ti', 'Zr', 'C']",0,0,0,0,0,0,0,0.243902439,0,0.243902439,0.12195122,0.243902439,0.12195122,0,0,0.024390244,0,0,0,0,0,0,0,0,0,IM,0,https://doi.org/10.1038/s41598-018-27144-3
Hf0.5Mo0.5NbTiZrC0.3,"['Hf', 'Mo', 'Nb', 'Ti', 'Zr', 'C']",0,0,0,0,0,0,0,0.23255814,0,0.23255814,0.11627907,0.23255814,0.11627907,0,0,0.069767442,0,0,0,0,0,0,0,0,0,IM,0,https://doi.org/10.1016/j.jallcom.2015.11.091
Al0.5NbTa0.8Ti1.5V0.2Zr,"['Al', 'Nb', 'Ta', 'Ti', 'V', 'Zr']",0.1,0,0,0,0,0,0,0.3,0.04,0.2,0,0.2,0,0.16,0,0,0,0,0,0,0,0,0,0,0,IM,0,https://doi.org/10.1016/j.jallcom.2015.11.091
Mo0.5NbHf0.5ZrTiSi0.1,"['Mo', 'Nb', 'Hf', 'Zr', 'Ti', 'Si']",0,0,0,0,0,0,0,0.243902439,0,0.243902439,0.12195122,0.243902439,0.12195122,0,0,0,0,0,0.024390244,0,0,0,0,0,0,BCC,1,https://doi.org/10.1016/j.jallcom.2015.11.091
Mo0.5NbHf0.5ZrTiSi0.3,"['Mo', 'Nb', 'Hf', 'Zr', 'Ti', 'Si']",0,0,0,0,0,0,0,0.23255814,0,0.23255814,0.11627907,0.23255814,0.11627907,0,0,0,0,0,0.069767442,0,0,0,0,0,0,IM,0,https://doi.org/10.1016/j.jallcom.2015.11.091
Mo0.5NbHf0.5ZrTiSi0.5,"['Mo', 'Nb', 'Hf', 'Zr', 'Ti', 'Si']",0,0,0,0,0,0,0,0.222222222,0,0.222222222,0.111111111,0.222222222,0.111111111,0,0,0,0,0,0.111111111,0,0,0,0,0,0,IM,0,https://doi.org/10.1016/j.jallcom.2015.11.091
Mo0.5NbHf0.5ZrTiSi0.7,"['Mo', 'Nb', 'Hf', 'Zr', 'Ti', 'Si']",0,0,0,0,0,0,0,0.212765957,0,0.212765957,0.106382979,0.212765957,0.106382979,0,0,0,0,0,0.14893617,0,0,0,0,0,0,IM,0,https://doi.org/10.1016/j.jallcom.2016.10.014
Mo0.5NbHf0.5ZrTiSi0.9,"['Mo', 'Nb', 'Hf', 'Zr', 'Ti', 'Si']",0,0,0,0,0,0,0,0.204081633,0,0.204081633,0.102040816,0.204081633,0.102040816,0,0,0,0,0,0.183673469,0,0,0,0,0,0,IM,0,https://doi.org/10.1016/j.jallcom.2016.10.014
HfMo0.5NbTiV0.5Si0.3,"['Hf', 'Mo', 'Nb', 'Ti', 'V', 'Si']",0,0,0,0,0,0,0,0.23255814,0.11627907,0.23255814,0.11627907,0,0.23255814,0,0,0,0,0,0.069767442,0,0,0,0,0,0,IM,0,https://doi.org/10.1016/j.jallcom.2016.10.014
HfMo0.5NbTiV0.5Si0.5,"['Hf', 'Mo', 'Nb', 'Ti', 'V', 'Si']",0,0,0,0,0,0,0,0.222222222,0.111111111,0.222222222,0.111111111,0,0.222222222,0,0,0,0,0,0.111111111,0,0,0,0,0,0,IM,0,https://doi.org/10.1016/j.jallcom.2016.10.014
HfMo0.5NbTiV0.5Si0.7,"['Hf', 'Mo', 'Nb', 'Ti', 'V', 'Si']",0,0,0,0,0,0,0,0.212765957,0.106382979,0.212765957,0.106382979,0,0.212765957,0,0,0,0,0,0.14893617,0,0,0,0,0,0,IM,0,https://doi.org/10.1016/j.actamat.2017.09.035
MoNb0.5HfZrTi,"['Mo', 'Nb', 'Hf', 'Zr', 'Ti']",0,0,0,0,0,0,0,0.222222222,0,0.111111111,0.222222222,0.222222222,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1016/j.intermet.2015.10.011
MoNb1.5HfZrTi,"['Mo', 'Nb', 'Hf', 'Zr', 'Ti']",0,0,0,0,0,0,0,0.181818182,0,0.272727273,0.181818182,0.181818182,0.181818182,0,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1016/j.intermet.2015.10.011
MoNbHfZrTi0.5,"['Mo', 'Nb', 'Hf', 'Zr', 'Ti']",0,0,0,0,0,0,0,0.111111111,0,0.222222222,0.222222222,0.222222222,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1016/j.intermet.2015.10.011
MoNbHfZrTi1.5,"['Mo', 'Nb', 'Hf', 'Zr', 'Ti']",0,0,0,0,0,0,0,0.272727273,0,0.181818182,0.181818182,0.181818182,0.181818182,0,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1016/j.intermet.2015.10.011
MoNbHfZr0.5Ti,"['Mo', 'Nb', 'Hf', 'Zr', 'Ti']",0,0,0,0,0,0,0,0.222222222,0,0.222222222,0.222222222,0.111111111,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1016/j.intermet.2015.10.011
MoNbHfZr1.5Ti,"['Mo', 'Nb', 'Hf', 'Zr', 'Ti']",0,0,0,0,0,0,0,0.181818182,0,0.181818182,0.181818182,0.272727273,0.181818182,0,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1016/j.intermet.2015.10.011
MoNbHf0.5ZrTi,"['Mo', 'Nb', 'Hf', 'Zr', 'Ti']",0,0,0,0,0,0,0,0.222222222,0,0.222222222,0.222222222,0.222222222,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1016/j.intermet.2015.10.011
MoNbHf1.5ZrTi,"['Mo', 'Nb', 'Hf', 'Zr', 'Ti']",0,0,0,0,0,0,0,0.181818182,0,0.181818182,0.181818182,0.181818182,0.272727273,0,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1016/j.intermet.2015.10.011
Mo1.5NbHfZrTi,"['Mo', 'Nb', 'Hf', 'Zr', 'Ti']",0,0,0,0,0,0,0,0.181818182,0,0.181818182,0.272727273,0.181818182,0.181818182,0,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1016/j.actamat.2013.09.037
Fe19.6Co19.6Ni19.6Cr19.6Mn19.6Al2,"['Fe', 'Co', 'Ni', 'Cr', 'Mn', 'Al']",0.02,0.196,0.196,0.196,0.196,0,0.196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FCC,2,10.1016/j.actamat.2013.09.037
Fe19.2Co19.2Ni19.2Cr19.2Mn19.2Al4,"['Fe', 'Co', 'Ni', 'Cr', 'Mn', 'Al']",0.04,0.192,0.192,0.192,0.192,0,0.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FCC,2,10.1016/j.actamat.2013.09.037
Fe18.6Co18.6Ni18.6Cr18.8Mn18.8Al7,"['Fe', 'Co', 'Ni', 'Cr', 'Mn', 'Al']",0.069860279,0.185628743,0.18762475,0.185628743,0.185628743,0,0.185628743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FCC+BCC,3,10.1016/j.actamat.2013.09.037
Fe18.4Co18.4Ni18.4Cr18.4Mn18.4Al8,"['Fe', 'Co', 'Ni', 'Cr', 'Mn', 'Al']",0.08,0.184,0.184,0.184,0.184,0,0.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FCC+BCC,3,10.1016/j.actamat.2013.09.037
Fe18.2Co18.2Ni18.2Cr18.2Mn18.2Al9,"['Fe', 'Co', 'Ni', 'Cr', 'Mn', 'Al']",0.09,0.182,0.182,0.182,0.182,0,0.182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FCC+BCC,3,10.1016/j.actamat.2013.09.037
Fe18Co18Ni18Cr18Mn18Al10,"['Fe', 'Co', 'Ni', 'Cr', 'Mn', 'Al']",0.1,0.18,0.18,0.18,0.18,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FCC+BCC,3,10.1016/j.matdes.2017.02.072
Fe17.8Co17.8Ni17.8Cr17.8Mn17.8Al11,"['Fe', 'Co', 'Ni', 'Cr', 'Mn', 'Al']",0.11,0.178,0.178,0.178,0.178,0,0.178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FCC+BCC,3,10.1016/j.matdes.2017.02.073
TiZrNbVMo1.7,"['Ti', 'Zr', 'Nb', 'V', 'Mo']",0,0,0,0,0,0,0,0.175438596,0.175438596,0.175438596,0.298245614,0.175438596,0,0,0,0,0,0,0,0,0,0,0,0,0,BCC,1,10.1016/j.intermet.2006.08.005
TiZrNbVMo2.0,"['Ti', 'Zr', 'Nb', 'V', 'Mo']",0,0,0,0,0,0,0,0.166666667,0.166666667,0.166666667,0.333333333,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,BCC,1,10.1016/j.intermet.2006.08.005
CoCrCuFeNiTi0.8,"['Co', 'Cr', 'Cu', 'Fe', 'Ni', 'Ti']",0,0.208333333,0.208333333,0.208333333,0.208333333,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IM,0,10.1016/j.intermet.2006.08.005
CrFeCoNiCuTi0.5,"['Cr', 'Fe', 'Co', 'Ni', 'Cu', 'Ti']",0,0.181818182,0.181818182,0.181818182,0.181818182,0.181818182,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IM,0,10.1016/j.jallcom.2007.11.110
CrFeCoNiCu,"['Cr', 'Fe', 'Co', 'Ni', 'Cu']",0,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FCC,2,10.1016/j.jallcom.2007.11.110
Cu0.25AlCoCrFeNiTi0.5,"['Cu', 'Al', 'Co', 'Cr', 'Fe', 'Ni', 'Ti']",0.173913043,0.173913043,0.173913043,0.173913043,0.173913043,0.043478261,0,0.086956522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BCC,1,10.3390/e21020114
Cu0.5AlCoCrFeNiTi0.5,"['Cu', 'Al', 'Co', 'Cr', 'Fe', 'Ni', 'Ti']",0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.083333333,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BCC,1,10.1016/j.jallcom.2007.11.110
AlCrFeCoNiCuTi,"['Al', 'Cr', 'Fe', 'Co', 'Ni', 'Cu', 'Ti']",0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FCC+BCC,3,10.1016/j.msea.2008.08.025
AlCrFeCoNiCuV,"['Al', 'Cr', 'Fe', 'Co', 'Ni', 'Cu', 'V']",0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FCC+BCC,3,10.1016/j.actamat.2016.01.050
Co25Ni25Fe25Al7.5Cu17.5,"['Co', 'Ni', 'Fe', 'Al', 'Cu']",0.075,0.25,0,0.25,0.25,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FCC,2,10.3390/e20120967
VCrFeTa0.3W0.3,"['V', 'Cr', 'Fe', 'Ta', 'W']",0,0,0.277777778,0.277777778,0,0,0,0,0.277777778,0,0,0,0,0.083333333,0.083333333,0,0,0,0,0,0,0,0,0,0,BCC,1,10.3390/e20120951
CrFeTaVW,"['Cr', 'Fe', 'Ta', 'V', 'W']",0,0,0.25,0.25,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,IM,0,10.3390/e21010015
HfMoTaTiZr,"['Hf', 'Mo', 'Ta', 'Ti', 'Zr']",0,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,BCC,1,10.3390/e21010015
HfMoNbTaZr,"['Hf', 'Mo', 'Nb', 'Ta', 'Zr']",0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,BCC,1,10.3390/e21010015
HfMoNbTaTi,"['Hf', 'Mo', 'Nb', 'Ta', 'Ti']",0,0,0,0,0,0,0,0.2,0,0.2,0.2,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,BCC,1,10.3390/e21010015
CoNi,"['Co', 'Ni']",0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FCC,2,10.1016/j.msea.2017.02.043
Ni18.5Fe18.5Cr18.5Co26Mn18.5,"['Ni', 'Fe', 'Cr', 'Co', 'Mn']",0,0.26,0.185,0.185,0.185,0,0.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IM,0,10.1016/j.msea.2015.03.109
Fe70.04Mn28Al1.6Si0.28C0.08,"['Fe', 'Mn', 'Al', 'Si', 'C']",0.016,0,0,0.7004,0,0,0.28,0,0,0,0,0,0,0,0,0.0008,0,0,0.0028,0,0,0,0,0,0,IM,0,10.1016/j.msea.2015.03.109
Fe73.03Mn25Al1.6Si0.24Nb0.05C0.08,"['Fe', 'Mn', 'Al', 'Si', 'Nb', 'C']",0.016008004,0,0,0.730665333,0,0,0.250125063,0,0,0,0,0,0,0,0,0.0008004,0,0,0.002401201,0,0,0,0,0,0,IM,0,10.1016/j.msea.2015.03.109
Fe68.25Mn27Al4.1Si0.52Nb0.05C0.08,"['Fe', 'Mn', 'Al', 'Si', 'Nb', 'C']",0.041,0,0,0.6825,0,0,0.27,0,0,0.0005,0,0,0,0,0,0.0008,0,0,0.0052,0,0,0,0,0,0,IM,0,10.1038/s41467-018-06600-8
Ni30Co30Cr10Fe10Al18W2,"['Ni', 'Co', 'Cr', 'Fe', 'Al', 'W']",0.18,0.3,0.1,0.1,0.3,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,IM,0,10.1016/j.matlet.2019.06.067
CoCrFeNiMo0.1,"['Co', 'Cr', 'Fe', 'Ni', 'Mo']",0,0.243902439,0.243902439,0.243902439,0.243902439,0,0,0,0,0,0.024390244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FCC,2,10.1016/j.actamat.2016.06.063
CoCrFeNiMo0.3,"['Co', 'Cr', 'Fe', 'Ni', 'Mo']",0,0.23255814,0.23255814,0.23255814,0.23255814,0,0,0,0,0,0.069767442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IM,0,10.1016/j.actamat.2016.06.063
Cr20Fe6Co34Ni34Mo6,"['Cr', 'Fe', 'Co', 'Ni', 'Mo']",0,0.34,0.2,0.06,0.34,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FCC,2,https://doi.org/10.1016/j.ijplas.2018.10.005
Al0.5Cr0.9FeNi2.5V0.2,"['Al', 'Cr', 'Fe', 'Ni', 'V']",0.098039216,0,0.176470588,0.196078431,0.490196078,0,0,0,0.039215686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FCC,2,10.3390/e21010015
Fe36Ni18Mn33Al13C1.26,"['Fe', 'Ni', 'Mn', 'Al', 'C']",0.128382382,0,0,0.355520442,0.177760221,0,0.325893739,0,0,0,0,0,0,0,0,0.012443215,0,0,0,0,0,0,0,0,0,IM,0,10.1016/j.msea.2017.03.099
Fe40.4Ni11.3Mn34.8Al7.5Cr6C1.1,"['Fe', 'Ni', 'Mn', 'Al', 'Cr', 'C']",0.074183976,0,0.059347181,0.399604352,0.111770524,0,0.34421365,0,0,0,0,0,0,0,0,0.010880317,0,0,0,0,0,0,0,0,0,FCC,2,10.1016/j.matchar.2019.109955
Fe28Ni18Mn33Al21,"['Fe', 'Ni', 'Mn', 'Al']",0.21,0,0,0.28,0.18,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IM,0,10.1016/j.actamat.2016.06.063
NbTaTi,"['Nb', 'Ta', 'Ti']",0,0,0,0,0,0,0,0.333333333,0,0.333333333,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,BCC,1,10.3390/e21020114
Nb1.5TaTiZr0.5,"['Nb', 'Ta', 'Ti', 'Zr']",0,0,0,0,0,0,0,0.25,0,0.375,0,0.125,0,0.25,0,0,0,0,0,0,0,0,0,0,0,BCC,1,10.1016/j.msea.2019.138555
Fe22Co20Ni19Cr20Mn12Al7,"['Fe', 'Co', 'Ni', 'Cr', 'Mn', 'Al']",0.07,0.2,0.2,0.22,0.19,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IM,0,https://doi.org/10.1016/j.msea.2019.138555
CoCrFeNiTi0.2,"['Co', 'Cr', 'Fe', 'Ni', 'Ti']",0,0.238095238,0.238095238,0.238095238,0.238095238,0,0,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IM,0,https://doi.org/10.1016/j.msea.2022.143971
Fe20Co27Ni13Cr20Mn20,"['Fe', 'Co', 'Ni', 'Cr', 'Mn']",0,0.27,0.2,0.2,0.13,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FCC,2,10.1016/j.msea.2019.05.058
AlCoCrFeMo0.05Ni2,"['Al', 'Co', 'Cr', 'Fe', 'Mo', 'Ni']",0.165289256,0.165289256,0.165289256,0.165289256,0.330578512,0,0,0,0,0,0.008264463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IM,0,https://doi.org/10.1016/j.msea.2019.05.058
AlCr1.5NbTiV,"['Al', 'Cr', 'Nb', 'Ti', 'V']",0.181818182,0,0.272727273,0,0,0,0,0.181818182,0.181818182,0.181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IM,0,10.1016/j.jallcom.2015.08.224
